Ano,Data,Autor,Título,Instituição,Ano Corrigido,Data Corrigida,Nome Corrigido,Título Corrigido,Instituição Corrigida,URL,Status,Note
2014,17/03/14,Marcos Borges De Oliveira,Abordagens históricas sobre logaritmos,UFMT,2014,17/03/14,Marcos Borges de Oliveira,Abordagens históricas sobre logaritmos,UFMT,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1009&id2=38270,,
2013,09/03/13,Mauricio Osmall Jung,Questionário virtual para o ensino de probabilidade,FURG,2013,09/03/13,Maurício Osmall Jung,Questionário virtual para o ensino de probabilidade,FURG,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=101&id2=45033,,
2014,04/04/14,Otávio José Corrêa Júnior,Construções geométricas com foco no método dos lugares geométricos: aspectos teóricos e computacionais,UFTM,2014,04/04/14,Otávio José Corrêa Jr,Construções geométricas com foco no método dos lugares geométricos: aspectos teóricos e computacionais,UFTM,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1010&id2=1212,,
2014,29/04/14,Michel Guerra De Souza,Possibilidades em grafos hamiltonianos,UFRJ,2014,29/04/14,Michel Guerra de Souza,Possibilidades em grafos hamiltonianos,UFRJ,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1011&id2=1153,,
2014,24/04/14,Carlos Danisio Macedo Silva,A essência dos determinantes na sua origem,UFCA,2014,24/04/14,Carlos Danisio Macedo Silva,A essência dos determinantes na sua origem,UFCA,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1012&id2=239,,
2014,28/04/14,Paulo Roberto De Souza,Avaliação educacional utilizando a teoria de resposta ao item-tri,UFAC,2014,28/04/14,Paulo Roberto de Souza,Avaliação educacional utilizando a Teoria de Resposta ao Item – TRI,UFAC,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1013&id2=1240,,
2014,15/04/14,Miriam Oliveira Espindola,Método de mínimos quadrados no ensino médio,UFGD,2014,15/04/14,Miriam Oliveira Espindola,Método de mínimos quadrados no Ensino Médio,UFGD,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1015&id2=1162,,
2013,15/03/13,Alan Gomes De Oliveira,Funções e geometria: o uso de ambiente de geometria dinâmica como subsídio para a caracterização das funções quadráticas,UTFPR,2013,15/03/13,Alan Gomes de Oliveira,Funções e geometria: o uso de ambiente de geometria dinâmica como subsídio para a caracterização das funções quadráticas,UTFPR,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=102&id2=28932,,
2025,23/01/25,Fatima Aparecida Afonso Aguilar,Os processos de diferenciação e integração gráfica: uma abordagem através da dinâmica de sistemas,UFSJ,2025,23/01/25,Fátima Aparecida Afonso Aguilar,Os processos de diferenciação e integração gráfica: uma abordagem através da dinâmica de sistemas,UFSJ,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=8002&id2=171057725,,
2024,29/01/24,Paulo Cardoso Dantas,Desafios e experiências de docentes ao ensinar para os alunos com tdah: o uso dos jogos e materiais concretos como ferramenta de apoio para a aprendizagem de matemática no ensino básico.,IFPI,2024,29/01/24,Paulo Cardoso Dantas,Desafios e experiências de docentes ao ensinar para os alunos com TDAH: o uso dos jogos e materiais concretos como ferramenta de apoio para a aprendizagem de matemática no Ensino Básico,IFPI,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=7443&id2=171057288,,
2023,10/02/23,Andre Macedo Costa,"Frações contínuas: abordagem histórica, aplicações e proposta didática no ensino básico",UFCG,2023,10/02/23,André Macedo Costa,"Frações contínuas: abordagem histórica, aplicações e proposta didática no Ensino Básico",UFCG,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=6925&id2=171055854,,
2022,10/01/22,Maria Regina Fernandes Da Silva,Tópicos essenciais de matemática para o ensino médio módulos auto-instrutivos,UNICAMP,2022,10/01/22,Maria Regina Fernandes da Silva Souza,Tópicos essenciais de Matemática para o Ensino Médio módulos auto-instrutivos,UNICAMP,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=6372&id2=171054932,erro,O nome da autora na base de dados não coincide com o nome do trabalho
2021,07/01/21,Bruna Schwarz Nunes Luiz,Um estudo exploratório envolvendo criptografia e noções de computação quântica,UFSCAR,2021,07/01/21,Bruna Schwarz Nunes Luiz,Um estudo exploratório envolvendo criptografia e noções de computação quântica,UFSCAR,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=5807&id2=171052919,,
2020,14/02/20,Giovana Madalena Michels Heringer,Laboratório de ensino de matemática: do projeto às primeiras atividades,UFT,2020,14/02/20,Giovana Madalena Michels Heringer,Laboratório de ensino de Matemática: do projeto às primeiras atividades,UFT,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=5206&id2=171052383,,
2019,16/01/19,Silvano Gomes Pio,Números transcendentes e a classificação de mahler com ênfase nos u-números,UFBA,2019,16/01/19,Silvano Gomes Pio,Números transcendentes e a classificação de Mahler com ênfase nos \(u\)-números,UFBA,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=4494&id2=160132953,,
2018,22/02/18,Cícero Thiago Bernardino Magalhaes,Teorema de feuerbach,UFC,2018,22/02/18,Cícero Thiago Bernardino Magalhães,Teorema de Feuerbach,UFC,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=3775&id2=150161471,,
2017,12/01/17,Daniele Helena Bonfim,Criptografia rsa,USP,2017,12/01/17,Daniele Helena Bonfim,Criptografia RSA,USP,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=3072&id2=94333,,
2016,23/01/16,Sidney Pinheiro Duarte,Probabilidade e gamão,UFJF,2016,23/01/16,Sidney Pinheiro Duarte,Probabilidade e Gamão,UFJF,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=2305&id2=91407,,
2015,06/02/15,Michelle Aparecida Silveira,"A interdisciplinaridade da obra o homem que calculava, aplicada ao ensino de matemática",UNESP,2015,06/02/15,Michelle Aparecida Silveira,"A interdisciplinaridade da obra o homem que calculava, aplicada ao ensino de Matemática",UNESP,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1601&id2=56817,,
2025,26/02/25,Ricardo Iaras Da Silva,Pressão e coeficientes dinâmicos do vento: uma perspectiva da equação de bernoulli para steam,UFG,2025,26/02/25,Ricardo Iaras da Silva,Pressão e coeficientes dinâmicos do vento: uma perspectiva da equação de Bernoulli para STEAM,UFG,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=8031&id2=171059128,,
2025,20/01/25,Roberio Bacelar Da Silva,"Transformações geométricas no plano isometrias, homotetia e inversão",UECE,2025,20/01/25,Roberio Bacelar da Silva,"Transformações geométricas no plano isometrias, homotetia e inversão",UECE,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=8046&id2=171059220,,
2024,01/03/24,Guilherme Ramon Gomes Pires Arantes,Códigos de barras e cpf: aplicações de congruência modular com uso de planilhas eletrônicas no ensino médio,UFCAT,2024,01/03/24,Guilherme Ramon Gomes Pires Arantes,Códigos de barras e CPF: aplicações de congruência modular com uso de planilhas eletrônicas no Ensino Médio,UFCAT,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=7459&id2=171057302,,
2024,23/01/24,Ana Carolina De Carvalho Silva,Contribuições do uso do geogebra para o estudo de funções quadráticas no ensino médio,UFES,2024,23/01/24,Ana Carolina de Carvalho Silva,Contribuições do uso do GeoGebra para o estudo de funções quadráticas no Ensino Médio,UFES,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=7466&id2=171055962,,
2023,24/02/23,Osvaldo Gomes Da Silva Neto,Uma proposta de uso do desmos como recurso digital no ensino de geometria à luz das avaliações nacionais,UFPA,2023,24/02/23,Osvaldo Gomes da Silva Neto,Uma proposta de uso do Desmos como recurso digital no ensino de geometria à luz das avaliações nacionais,UFPA,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=6939&id2=171054407,,
2023,06/01/23,Jones Ueder Casarin,Transformações geométricas: ações e aplicações nos anos finais do ensino fundamenta,UFSM,2023,06/01/23,Jones Ueder Casarin,Transformações geométricas: ações e aplicações nos anos finais do ensino fundamenta,UFSM,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=6940&id2=171056167,,
2023,28/02/23,Edinalva Feitosa Passos,O uso do geogebra no celular como meio facilitador para o ensino de função modular em turmas do 1º ano do ensino médio,UNIVASF,2023,28/02/23,Edinalva Feitosa Passos,O uso do GeoGebra no celular como meio facilitador para o ensino de função modular em turmas do 1º ano do Ensino Médio,UNIVASF,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=6941&id2=171055459,,
2022,20/01/22,Renata Burguetti,Alguns tipos de grafos e aplicações,UEM,2022,20/01/22,Renata Burguetti,Alguns tipos de grafos e aplicações,UEM,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=6448&id2=171053049,,
2022,20/04/22,Fabiano Calacio Silva,Proporcionalidade e regra de três: um olhar usando o teorema fundamental da proporcionalidade,UFMA,2022,20/04/22,Fabiano Calacio Silva,Proporcionalidade e regra de três: um olhar usando o teorema fundamental da proporcionalidade,UFMA,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=6450&id2=171053151,,
2022,11/02/22,Carla De Azevedo Paes Nunes,Otimização como recurso de aprendizagem aplicado ao ensino médio e superior,UERJ,2022,11/02/22,Carla de Azevedo Paes Nunes,Otimização como recurso de aprendizagem aplicado ao Ensino Médio e superior,UERJ,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=6461&id2=171052791,,
2021,22/01/21,Andre Oliveira Martins,Redes neurais no ensino básico,UFAL,2021,22/01/21,André Oliveira Martins,Redes neurais no Ensino Básico,UFAL,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=5822&id2=171052944,,
2021,26/02/21,Paulo Julio De Freitas,Atividades práticas de matemática aplicadas na topografia,UFMS,2021,26/02/21,Paulo Júlio de Freitas,Atividades práticas de Matemática aplicadas na topografia,UFMS,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=5855&id2=171054588,,
2021,20/01/21,Idineia Da Silva Justino,A utilização da matemática financeira na prática,UEMS,2021,20/01/21,Idinéia da Silva Justino,A utilização da Matemática financeira na prática,UEMS,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=5864&id2=171052116,,
2020,20/02/20,Kleber Silva Filho,Combinatória na obmep: uma análise de questões da primeira fase do nível 3,UFRPE,2020,20/02/20,Kleber Silva Filho,Combinatória na OBMEP: uma análise de questões da primeira fase do nível 3,UFRPE,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=5230&id2=171053350,,
2020,17/02/20,Thiago Duarte Nascimento,A investigação matemática como metodologia de ensino: relato de atividades com estudantes do sétimo e oitavo anos .,UNIRIO,2020,17/02/20,Thiago Duarte Nascimento,A investigação matemática como metodologia de ensino: relato de atividades com estudantes do sétimo e oitavo anos,UNIRIO,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=5244&id2=170480113,,
2019,30/01/19,Lucas Pereira Viana,Matemática e educação financeira: uma análise no contexto escolar e familiar,UFPI,2019,30/01/19,Lucas Pereira Viana,Matemática e educação financeira: uma análise no contexto escolar e familiar,UFPI,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=4513&id2=170230621,,
2019,14/02/19,Rodrigo Pessanha Da Cunha,"""explorando a arte e o belo da matemática por meio de narrativas"".",UFF,2019,14/02/19,Rodrigo Pessanha da Cunha,Explorando a arte e o belo da Matemática por meio de narrativas,UFF,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=4532&id2=90145,,
2018,21/02/18,Rachel Saffir Araújo Alves Feijó,Dificuldades e obstáculos no aprendizado de trigonometria: um estudo com alunos do ensino médio do distrito federal,UnB,2018,21/02/18,Rachel Saffir Araújo Alves Feijó,Dificuldades e obstáculos no aprendizado de trigonometria: um estudo com alunos do Ensino Médio do Distrito Federal,UnB,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=3802&id2=160270396,,
2018,28/02/18,Wellington Galdino Alves De Oliveira,Estudo e aplicações dos números complexos: o uso dos números complexos na análise de circuitos elétricos,PUC,2018,28/02/18,Wellington Galdino Alves de Oliveira,Estudo e aplicações dos números complexos: o uso dos números complexos na análise de circuitos elétricos,PUC,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=3810&id2=150450499,,
2017,19/01/17,Ramon Formiga Figueira,O número de euler,UFPB,2017,19/01/17,Ramon Formiga Figueira,O número de Euler,UFPB,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=3099&id2=150210641,,
2017,10/02/17,Mailson Matos Pereira,Oficinas de probabilidade e estatística: uma proposta de intervenção no ensino e aprendizagem de matemática,UEPB,2017,10/02/17,Mailson Matos Pereira,Oficinas de probabilidade e estatística: uma proposta de intervenção no ensino e aprendizagem de Matemática,UEPB,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=3151&id2=150190081,,
2016,14/01/16,Marcos Alberto Barbosa,Desenvolvendo aplicativos para dispositivos móveis através do mit app inventor 2 nas aulas de matemática,UESC,2016,14/01/16,Marcos Alberto Barbosa,Desenvolvendo aplicativos para dispositivos móveis através do MIT App Inventor 2 nas aulas de Matemática,UESC,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=2323&id2=95016,,
2016,16/02/16,Ana Maria Mrás,Sequência de fibonacci e uma fórmula para o seu termo geral,UFSC,2016,16/02/16,Ana Maria Mrás,Sequência de Fibonacci e uma fórmula para o seu termo geral,UFSC,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=2342&id2=94104,,
2015,27/02/15,Jeane Andreane Pavelegini De Medeiros De Britto,O teorema de morley,UFPR,2015,27/02/15,Jeane Andreane Pavelegini de Medeiros de Britto,O teorema de Morley,UFPR,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1685&id2=755,,"Jeane Andreane Pavelegini de Medeiros de Britto, Lúcio Sebastião Coelho da Silva e Marcos Alves da Silva defenderam uma dissertação com o mesmo título."
2015,24/02/15,Carlos Renato Almeida Mendes,O uso da arte de maurits cornelis escher para ensinar geometria.,IMPA,2015,24/02/15,Carlos Renato Almeida Mendes,O uso da arte de Maurits Cornelis Escher para ensinar geometria,IMPA,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=1716&id2=257,,
2024,10/06/24,Paulo Sergio Fontes Santana,"O uso de \""matemágicas\"" no processo de ensino-aprendizagem",FUFS,2024,10/06/24,Paulo Sérgio Fontes Santana,O uso de “matemágicas” no processo de ensino-aprendizagem,FUFS,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=7585&id2=171058376,,
2025,31/01/25,Luis Eduardo Nogueira,O uso do software “geogebra” no ensino das funções trigonométricas no ensino médio,UFV,2025,31/01/25,Luís Eduardo Nogueira,O uso do software “GeoGebra” no ensino das funções trigonométricas no Ensino Médio,UFV,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=8060&id2=171057555,,
2025,26/02/25,Luan De Paiva Dos Reis,O opdca como plano de ação para superar a indisciplina e a desmotivação por meio da estatística para a terceira série do ensino médio à luz da bncc,UFRRJ,2025,26/02/25,Luan de Paiva dos Reis,O OPDCA como plano de ação para superar a indisciplina e a desmotivação por meio da estatística para a terceira série do Ensino Médio à luz da BNCC,UFRRJ,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=8054&id2=171057567,,
2024,08/08/24,Patricia Costa Cardoso,Estudando as equações no ensino fundamental: um caminho pela história e resolução de problemas,UEFS,2024,08/08/24,Patricia Costa Cardoso,Estudando as equações no Ensino Fundamental: um caminho pela história e resolução de problemas,UEFS,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=7671&id2=171058007,,
2024,12/07/24,Thais Cantalejo Gussani Maganha,Uso do origami como ferramenta para explorar a relação de euler na eja,UENF,2024,12/07/24,Thais Cantalejo Gussani Maganha,Uso do origami como ferramenta para explorar a relação de Euler na EJA,UENF,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=7723&id2=171057657,,
2024,17/05/24,Robson Da Silva Souza,O emprego da gamificação na educação básica com o software geogebra,UESB,2024,17/05/24,Robson da Silva Souza,O emprego da gamificação na educação básica com o software GeoGebra,UESB,https://sca.profmat-sbm.org.br/profmat_tcc.php?id1=7726&id2=171057763,,
